dataset,column,rank,value,count,pct
test,timestamp,39,11:45,871,0.0208482933601417
test,timestamp,40,11:15,870,0.020824357317248313
test,timestamp,41,12:15,856,0.020489252716740868
test,timestamp,42,12:30,847,0.020273828330700367
test,timestamp,43,12:45,834,0.019962659773086314
test,timestamp,44,13:0,815,0.019507874958111925
test,timestamp,45,13:15,805,0.019268514529178035
test,timestamp,46,13:30,790,0.018909473885777205
test,timestamp,47,13:45,777,0.01859830532816315
test,RoadType,1,Residential,33775,0.8084398487242089
test,RoadType,2,Highway,4272,0.10225477524055723
test,RoadType,3,Street,3407,0.08155009813777586
test,RoadType,4,<MISSING>,324,0.007755277897457992
test,LargeVehicles,1,Not Allowed,26178,0.6265977308631338
test,LargeVehicles,2,Allowed,15600,0.3734022691368663
test,Landmarks,1,Yes,28245,0.6760735315237685
test,Landmarks,2,No,13533,0.3239264684762315
test,Weather,1,Sunny,15078,0.3609076547465173
test,Weather,2,Foggy,11102,0.26573794820240315
test,Weather,3,Rainy,11081,0.26523529130164203
test,Weather,4,Snowy,4086,0.0978026712623869
test,Weather,5,<MISSING>,431,0.0103164344870506
test,NumberofLanes,1,1,14828,0.3549236440231701
test,NumberofLanes,2,2,12422,0.29733352482167646
test,NumberofLanes,3,3,12406,0.29695054813538224
test,NumberofLanes,4,4,1062,0.025420077552778975
test,NumberofLanes,5,5,1060,0.025372205466992197
