key,count,mean,median,std,min,max
510,876,0.1058531857103726,0.05617087281973125,0.15528280718331516,0.0003548939759019,1.0
525,895,0.10579331142817644,0.0525405501006933,0.15764295326899896,0.0002640530394677,1.0
540,893,0.1070040688508678,0.0575006662032652,0.15771003308631426,2.192114794362368e-05,1.0
555,868,0.11204893096776938,0.0604821370012723,0.1635645600777262,9.131060913049556e-05,1.0
570,886,0.10917799522961279,0.05649197265910595,0.1633167508223549,2.243730602771988e-05,1.0
585,902,0.10877683079939365,0.05569371821205095,0.16418547976694026,4.217865981192527e-05,1.0
600,899,0.11031932390824302,0.0598897676714283,0.1626138955325282,1.1890183853502377e-05,1.0
615,896,0.11033386953635325,0.05954375070953305,0.16182396592022136,1.5738525625575313e-05,1.0
630,907,0.11119474843883324,0.0569758091386854,0.1632036997517819,0.0001108601623698,1.0
645,920,0.11449073521372474,0.0574585475839289,0.16897143377983795,3.5088877074796776e-05,1.0
660,902,0.1153950745652817,0.0596984938393945,0.16642171905093067,6.579810353995173e-05,1.0
675,876,0.11917352759732727,0.06283123849943514,0.16949473223166064,7.96669546958003e-05,1.0
690,891,0.1175613496811734,0.0606116759101265,0.17302411620053323,2.883754011419188e-05,1.0
705,898,0.117128682769373,0.06010620550073175,0.1700311993146481,0.0001930226665626,1.0
720,887,0.11778978388216534,0.0608068881409639,0.16912919119512582,7.337489895908541e-05,1.0
735,893,0.11467583948346194,0.0585566738996214,0.16788323489048204,0.0001379316519204,1.0
750,880,0.1126141230863788,0.0547412858298757,0.1706180033565077,4.995530480954146e-05,1.0
765,865,0.11396495908084876,0.05338939978748,0.17430982696789368,0.0001244373453104,1.0
780,861,0.1126644355439018,0.0530732426186121,0.17471484591601982,6.514997565667447e-06,1.0
795,832,0.11664085338747625,0.05469099227737125,0.17856708969609034,0.0001415145073655,1.0
810,790,0.1191925572899457,0.05647803398594825,0.18216881812047167,2.506752465289548e-05,1.0
825,788,0.11704583345077335,0.05331078173348795,0.18348895690107508,0.0001322413430152,1.0
840,778,0.11782144509950772,0.05352322104454995,0.1827846899980363,0.0003296650973741,1.0
855,769,0.11134936262508188,0.0518709987910411,0.1756118799828165,7.398573633737529e-06,1.0
870,748,0.10396683695344389,0.046590371085956095,0.16549260901758756,0.000285756968655,1.0
885,705,0.09423931049213496,0.0444613583738986,0.15164930889879713,2.20809583593095e-05,1.0
900,689,0.08821556052351526,0.0406621790495151,0.14531440851398902,0.0001316734308877,1.0
915,667,0.0833202153950979,0.0377632655485513,0.13696090285657078,4.562755113258023e-05,1.0
930,620,0.0821881858548979,0.03911062791995065,0.13127724599016452,2.967152280047076e-05,1.0
945,604,0.07821916930376592,0.0339110499266113,0.12647809119273123,0.0001742050897364,1.0
960,577,0.07640264143428904,0.0345736471029866,0.1253004013629694,9.93452314131178e-05,1.0
975,529,0.07254999053834732,0.030709704698144,0.1232956178531992,4.747904059791603e-05,1.0
990,506,0.06501265233103065,0.0274095669371262,0.11537080188785824,0.0001482384504279,1.0
1005,496,0.06519759645917306,0.02784703521965615,0.11772929386054252,2.237334735700596e-05,1.0
1020,471,0.06514307980916957,0.0256124055164999,0.12101106003974647,0.0001100993599678,1.0
1035,432,0.06231480795564344,0.02667085888948035,0.11548842479536632,0.0001155881242579,1.0
1050,412,0.0536746532175605,0.02091902221277835,0.10979409491047733,3.46532786016425e-05,1.0
1065,369,0.05279026241215808,0.0228381319876508,0.10959529755825369,0.0001129108329533,1.0
1080,323,0.05396173339626158,0.0208403225780978,0.10825011971634987,5.383697540947864e-06,1.0
1095,324,0.048370548150270545,0.01986207344056655,0.1000666641351426,4.409823760954663e-06,1.0
1110,303,0.04671326013608784,0.021511050902271,0.09116816682461436,1.6769313774407313e-05,1.0
1125,297,0.045730104816531135,0.0204260031676764,0.09182682524050662,6.245650130093708e-07,1.0
1140,292,0.0441407867910616,0.02107266001099385,0.08742534820216753,9.363161296281625e-05,1.0
1155,288,0.043151284827705715,0.020708234965294,0.08695110379311775,0.0001265637415769,1.0
1170,308,0.04021447770563485,0.0185078006120414,0.08652690828129982,5.804770742954357e-06,1.0
1185,326,0.04117683453086421,0.0173203157519593,0.09320397165363233,0.0001106580329062,1.0
1200,351,0.045514524852604474,0.0191262210103993,0.09456302978767675,0.0002732801163611,1.0
1215,342,0.0448852729931825,0.0202911184213051,0.0916568592126365,6.707608569160371e-05,1.0
1230,345,0.04378511383799284,0.0226237559487145,0.08368947527681529,1.9859023789430574e-05,1.0
1245,380,0.04117073172939165,0.0207235983778428,0.07755929991192771,0.0001560552070783,1.0
1260,396,0.048636315768188096,0.027971346154506048,0.07953953931405812,4.70616183146878e-05,1.0
1275,431,0.05376407659457317,0.0316641616108614,0.07880262124299449,8.606908964172191e-05,1.0
1290,458,0.05874097413376414,0.0340158057469403,0.08336322622319592,0.0001634876428868,1.0
1305,453,0.06545589864966317,0.0420398679909073,0.08596283424649703,0.0001347941749972,1.0
1320,543,0.06640399900858628,0.0392770841908329,0.0914840840050753,0.0002162483710808,1.0
1335,576,0.07286446431620767,0.0423511339308926,0.0968743840776226,7.871068503590425e-05,1.0
1350,626,0.07683502429369801,0.0431644611157333,0.10104281866035196,0.0002225849089511,1.0
1365,665,0.08048877249742295,0.0442060488107362,0.10577668549331022,7.022824092272974e-05,1.0
1380,721,0.08298291892322154,0.0465877739053082,0.11344049641957475,9.980108547441285e-06,1.0
1395,764,0.0892047465569393,0.048781502135645846,0.12432702978520292,4.927943324376347e-05,1.0
1410,772,0.09802462078691045,0.0522491589326293,0.13421326453213764,6.716111859721694e-05,1.0
1425,805,0.09891636757362171,0.0510588899647029,0.13797060319580134,0.0002210516078942,1.0
