Index,geohash,day,timestamp,demand,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,hour,minute,dayofweek,month,dayofmonth,weekofyear,is_weekend
24,qp0900,48,1900-01-01 00:00:00,0.0057459436413194,Residential,3,Allowed,Yes,12.13038258301014,Rainy,0,0,0,1,1,1,0
25,qp090b,48,1900-01-01 00:00:00,0.1081009353894617,Residential,1,Not Allowed,No,29.27851234778877,Sunny,0,0,0,1,1,1,0
26,qp094b,48,1900-01-01 00:00:00,0.0128762581568748,Residential,3,Allowed,Yes,13.919406119242153,Rainy,0,0,0,1,1,1,0
27,qp0950,48,1900-01-01 00:00:00,0.0466793974170952,Residential,2,Not Allowed,Yes,13.87855299119968,Rainy,0,0,0,1,1,1,0
28,qp0952,48,1900-01-01 00:00:00,0.0051142529898034,Residential,1,Not Allowed,No,23.845024707393268,Sunny,0,0,0,1,1,1,0
29,qp0958,48,1900-01-01 00:00:00,0.0181345060438591,Residential,1,Not Allowed,No,19.78228985184643,Sunny,0,0,0,1,1,1,0
30,qp095b,48,1900-01-01 00:00:00,0.0155656372402501,Residential,2,Not Allowed,Yes,11.524956944937433,Rainy,0,0,0,1,1,1,0
31,qp090c,48,1900-01-01 00:00:00,0.1038037660951269,Residential,1,Not Allowed,No,,Sunny,0,0,0,1,1,1,0
32,qp0949,48,1900-01-01 00:00:00,0.0052784302674281,Residential,2,Not Allowed,Yes,20.40724561816188,Sunny,0,0,0,1,1,1,0
33,qp094c,48,1900-01-01 00:00:00,0.0079516958584448,Residential,2,Not Allowed,Yes,14.388959254855962,Foggy,0,0,0,1,1,1,0
34,qp0951,48,1900-01-01 00:00:00,0.0204638018861602,Residential,1,Not Allowed,No,14.64553944209739,Foggy,0,0,0,1,1,1,0
35,qp0959,48,1900-01-01 00:00:00,0.0075813562323335,Residential,1,Not Allowed,No,10.138902302145713,Rainy,0,0,0,1,1,1,0
36,qp095c,48,1900-01-01 00:00:00,0.0114616587846068,Residential,2,Not Allowed,Yes,6.618796508944126,Snowy,0,0,0,1,1,1,0
37,qp03p6,48,1900-01-01 00:00:00,0.0369505530202992,Residential,1,Not Allowed,No,6.290247289533616,Snowy,0,0,0,1,1,1,0
38,qp03pf,48,1900-01-01 00:00:00,0.0010644082621131,Residential,3,Allowed,Yes,3.8058478822175994,Snowy,0,0,0,1,1,1,0
39,qp0944,48,1900-01-01 00:00:00,0.0075865943255815,Residential,3,Allowed,Yes,23.189392783980697,Sunny,0,0,0,1,1,1,0
40,qp03p7,48,1900-01-01 00:00:00,0.0443056089219072,Residential,3,Allowed,Yes,19.18762610115424,Sunny,0,0,0,1,1,1,0
41,qp03pe,48,1900-01-01 00:00:00,0.0602099948825779,Residential,1,Not Allowed,No,24.07865571376893,Sunny,0,0,0,1,1,1,0
42,qp0907,48,1900-01-01 00:00:00,0.0098409057395842,Residential,3,Allowed,Yes,22.78211209217337,Sunny,0,0,0,1,1,1,0
43,qp090e,48,1900-01-01 00:00:00,0.0956787131079451,Residential,3,Allowed,Yes,16.77558361355027,Foggy,0,0,0,1,1,1,0
44,qp0945,48,1900-01-01 00:00:00,0.0377529692891855,Residential,2,Not Allowed,Yes,24.6618428435877,Sunny,0,0,0,1,1,1,0
45,qp0957,48,1900-01-01 00:00:00,0.0058714727900774,Residential,2,Not Allowed,Yes,22.19329466143129,Sunny,0,0,0,1,1,1,0
46,qp09h5,48,1900-01-01 00:00:00,0.0242471248985706,Residential,1,Not Allowed,No,17.331039338762622,Foggy,0,0,0,1,1,1,0
47,qp03ps,48,1900-01-01 00:00:00,0.0091907417353093,Residential,2,Not Allowed,Yes,14.16741045432556,Foggy,0,0,0,1,1,1,0
48,qp094k,48,1900-01-01 00:00:00,0.0032289522141094,Residential,1,Not Allowed,No,9.49519857624944,Rainy,0,0,0,1,1,1,0
49,qp094u,48,1900-01-01 00:00:00,0.0050898738793403,Residential,2,Not Allowed,Yes,15.899204844631244,Foggy,0,0,0,1,1,1,0
50,qp095k,48,1900-01-01 00:00:00,0.0489337124363825,Residential,2,Not Allowed,Yes,15.53374657832914,Foggy,0,0,0,1,1,1,0
51,qp095s,48,1900-01-01 00:00:00,0.006016012501686,Residential,3,Allowed,Yes,8.560095137613802,Rainy,0,0,0,1,1,1,0
52,qp09hh,48,1900-01-01 00:00:00,0.0242406169720421,Residential,3,Allowed,Yes,12.915038566095143,Rainy,0,0,0,1,1,1,0
53,qp09hs,48,1900-01-01 00:00:00,0.050291695756294,Residential,2,Not Allowed,Yes,7.001167553544823,Rainy,0,0,0,1,1,1,0
54,qp09jk,48,1900-01-01 00:00:00,0.0216871474754915,Residential,3,Allowed,Yes,7.43322417938726,Rainy,0,0,0,1,1,1,0
55,qp090m,48,1900-01-01 00:00:00,0.0271842884360591,Residential,1,Not Allowed,No,18.352740190042493,Foggy,0,0,0,1,1,1,0
56,qp090t,48,1900-01-01 00:00:00,0.271214984125993,Street,1,Not Allowed,Yes,13.217287468487726,Rainy,0,0,0,1,1,1,0
57,qp091t,48,1900-01-01 00:00:00,0.04153877642129,Residential,1,Not Allowed,No,20.880382617966436,Sunny,0,0,0,1,1,1,0
58,qp094j,48,1900-01-01 00:00:00,0.0125820485726579,Residential,1,Not Allowed,No,25.895786352847463,Sunny,0,0,0,1,1,1,0
59,qp095j,48,1900-01-01 00:00:00,0.0196171918846455,Residential,2,Not Allowed,Yes,13.184334181172016,Rainy,0,0,0,1,1,1,0
60,qp095m,48,1900-01-01 00:00:00,0.0204823479473542,Residential,2,Not Allowed,Yes,26.09274752228545,Sunny,0,0,0,1,1,1,0
61,qp095v,48,1900-01-01 00:00:00,0.0279674813815603,Residential,2,Not Allowed,Yes,0.4993619896977446,Snowy,0,0,0,1,1,1,0
62,qp09hj,48,1900-01-01 00:00:00,0.1101754817771966,Residential,1,Not Allowed,No,,Sunny,0,0,0,1,1,1,0
63,qp09hm,48,1900-01-01 00:00:00,0.0564348471684091,Residential,3,Allowed,Yes,18.67837688631393,Foggy,0,0,0,1,1,1,0
64,qp09ht,48,1900-01-01 00:00:00,0.0624166733508955,Residential,2,Not Allowed,Yes,9.140847501327311,Rainy,0,0,0,1,1,1,0
65,qp09hv,48,1900-01-01 00:00:00,0.1186887296030999,Residential,1,Not Allowed,No,12.411278993797817,Rainy,0,0,0,1,1,1,0
66,qp09jv,48,1900-01-01 00:00:00,0.0038551576970718,Residential,1,Not Allowed,No,13.902481322282863,Rainy,0,0,0,1,1,1,0
67,qp03jq,48,1900-01-01 00:00:00,0.0078582615121868,Residential,3,Allowed,Yes,12.241209279170029,Rainy,0,0,0,1,1,1,0
68,qp03jw,48,1900-01-01 00:00:00,0.0244578324092644,Residential,2,Not Allowed,Yes,26.74268962344645,Sunny,0,0,0,1,1,1,0
69,qp03jy,48,1900-01-01 00:00:00,0.0240074679481412,Residential,3,Allowed,Yes,28.190773329564163,Sunny,0,0,0,1,1,1,0
70,qp03nq,48,1900-01-01 00:00:00,0.012561494937501,Residential,1,Not Allowed,No,16.274542078824833,Foggy,0,0,0,1,1,1,0
71,qp03nw,48,1900-01-01 00:00:00,0.0067441414144705,Residential,2,Not Allowed,Yes,3.7355808295990016,Snowy,0,0,0,1,1,1,0
72,qp03ny,48,1900-01-01 00:00:00,0.0217606352242184,Residential,1,Not Allowed,No,17.070180941097277,Foggy,0,0,0,1,1,1,0
73,qp03pq,48,1900-01-01 00:00:00,0.0101306990881377,Residential,2,Not Allowed,Yes,22.967083156816344,Sunny,0,0,0,1,1,1,0
74,qp03pw,48,1900-01-01 00:00:00,0.0105134664743811,Residential,3,Allowed,Yes,15.33358063881723,Foggy,0,0,0,1,1,1,0
75,qp03py,48,1900-01-01 00:00:00,0.0146997015596842,Residential,2,Not Allowed,Yes,12.834082295529926,Rainy,0,0,0,1,1,1,0
76,qp090n,48,1900-01-01 00:00:00,0.0078983055805692,Residential,3,Allowed,Yes,12.518268908591995,Rainy,0,0,0,1,1,1,0
77,qp090q,48,1900-01-01 00:00:00,0.0078025245726464,Residential,2,Not Allowed,Yes,24.696448511453998,Sunny,0,0,0,1,1,1,0
78,qp090w,48,1900-01-01 00:00:00,0.0149851055718371,Residential,1,Not Allowed,No,-3.201481073562725,Snowy,0,0,0,1,1,1,0
79,qp091q,48,1900-01-01 00:00:00,0.0106416363125979,Residential,2,Not Allowed,Yes,13.760743871548346,Rainy,0,0,0,1,1,1,0
80,qp091y,48,1900-01-01 00:00:00,0.0025202323365444,Residential,3,Allowed,Yes,18.651917745516258,Foggy,0,0,0,1,1,1,0
81,qp094n,48,1900-01-01 00:00:00,0.0640961209115792,Residential,2,Not Allowed,Yes,24.776188615931204,Sunny,0,0,0,1,1,1,0
82,qp094q,48,1900-01-01 00:00:00,0.0773296051129645,Residential,1,Not Allowed,No,13.137448203992989,Rainy,0,0,0,1,1,1,0
83,qp094y,48,1900-01-01 00:00:00,0.0249798256872105,Residential,1,Not Allowed,No,28.345252975071997,Sunny,0,0,0,1,1,1,0
84,qp095n,48,1900-01-01 00:00:00,0.0096343662928541,Residential,2,Not Allowed,Yes,14.059560084163358,Foggy,0,0,0,1,1,1,0
85,qp095q,48,1900-01-01 00:00:00,0.0891386484086912,Residential,1,Not Allowed,No,16.601203909829355,Foggy,0,0,0,1,1,1,0
86,qp095w,48,1900-01-01 00:00:00,0.0787140659983864,Residential,3,Allowed,Yes,13.77818461582946,Rainy,0,0,0,1,1,1,0
87,qp095y,48,1900-01-01 00:00:00,0.0093036287212057,Residential,1,Not Allowed,No,11.170086893455158,Rainy,0,0,0,1,1,1,0
88,qp09hn,48,1900-01-01 00:00:00,0.0073803595597292,Residential,3,Allowed,Yes,19.77047394943787,Sunny,0,0,0,1,1,1,0
89,qp09hq,48,1900-01-01 00:00:00,0.0098706099070967,Residential,1,Not Allowed,No,4.427161673875768,Snowy,0,0,0,1,1,1,0
90,qp09hy,48,1900-01-01 00:00:00,0.0380947508965134,Residential,3,Allowed,Yes,7.675975021500081,Rainy,0,0,0,1,1,1,0
91,qp09jq,48,1900-01-01 00:00:00,0.1043509874386532,Residential,2,Not Allowed,Yes,13.1379564815339,Rainy,0,0,0,1,1,1,0
92,qp03jr,48,1900-01-01 00:00:00,0.0009032998982759,Residential,3,Allowed,Yes,13.242242892146471,Rainy,0,0,0,1,1,1,0
93,qp03jx,48,1900-01-01 00:00:00,0.0124620342846438,Residential,1,Not Allowed,No,,Sunny,0,0,0,1,1,1,0
94,qp03nx,48,1900-01-01 00:00:00,0.0313254291766857,Residential,2,Not Allowed,Yes,17.045459263007857,Foggy,0,0,0,1,1,1,0
95,qp03nz,48,1900-01-01 00:00:00,0.0735736617247824,Residential,3,Allowed,Yes,26.433083266679915,Sunny,0,0,0,1,1,1,0
96,qp03pp,48,1900-01-01 00:00:00,0.0334086670471249,Residential,1,Not Allowed,No,27.41759356333964,Sunny,0,0,0,1,1,1,0
97,qp03pr,48,1900-01-01 00:00:00,0.0759339816366685,Residential,3,Allowed,Yes,20.290262278504656,,0,0,0,1,1,1,0
98,qp03px,48,1900-01-01 00:00:00,0.0344768452400494,Residential,1,Not Allowed,No,10.094868088075676,Rainy,0,0,0,1,1,1,0
99,qp03pz,48,1900-01-01 00:00:00,0.0188995942686765,Residential,3,Allowed,Yes,8.267343974598834,Rainy,0,0,0,1,1,1,0
100,qp090p,48,1900-01-01 00:00:00,0.0028529547653869,Residential,1,Not Allowed,No,13.94277417834783,Rainy,0,0,0,1,1,1,0
101,qp090r,48,1900-01-01 00:00:00,0.0002359971465186,Residential,3,Allowed,Yes,16.091882430784896,Foggy,0,0,0,1,1,1,0
102,qp090x,48,1900-01-01 00:00:00,0.018841491155715,Residential,3,Allowed,Yes,8.634276447286915,Rainy,0,0,0,1,1,1,0
103,qp091z,48,1900-01-01 00:00:00,0.0310672244089177,Residential,2,Not Allowed,Yes,24.761379619926373,Sunny,0,0,0,1,1,1,0
104,qp094p,48,1900-01-01 00:00:00,0.0193213910518489,Residential,3,Allowed,Yes,14.49056474957824,Foggy,0,0,0,1,1,1,0
105,qp094r,48,1900-01-01 00:00:00,0.2205765733158165,Street,1,Not Allowed,Yes,24.97769502928144,Sunny,0,0,0,1,1,1,0
106,qp094x,48,1900-01-01 00:00:00,0.0790359605904772,Residential,2,Not Allowed,Yes,15.577556506644092,Foggy,0,0,0,1,1,1,0
107,qp094z,48,1900-01-01 00:00:00,0.0127643837867669,Residential,2,Not Allowed,Yes,16.706107803250095,Foggy,0,0,0,1,1,1,0
108,qp095r,48,1900-01-01 00:00:00,0.1100937186469649,Residential,3,Allowed,Yes,17.002460101600605,Foggy,0,0,0,1,1,1,0
109,qp095x,48,1900-01-01 00:00:00,0.0392264585611094,Residential,1,Not Allowed,No,5.511214422507402,Snowy,0,0,0,1,1,1,0
110,qp095z,48,1900-01-01 00:00:00,0.008519356495351,Residential,2,Not Allowed,Yes,16.214132345485993,Foggy,0,0,0,1,1,1,0
111,qp09hp,48,1900-01-01 00:00:00,0.0065813522867585,Residential,1,Not Allowed,No,26.679584570371,Sunny,0,0,0,1,1,1,0
112,qp09hr,48,1900-01-01 00:00:00,1.3729222259441756e-05,Residential,3,Allowed,Yes,17.769475595138587,Foggy,0,0,0,1,1,1,0
113,qp09jp,48,1900-01-01 00:00:00,0.0341568801493187,Residential,1,Not Allowed,No,4.676950391218972,Snowy,0,0,0,1,1,1,0
114,qp03m2,48,1900-01-01 00:00:00,0.0016988155268486,Residential,2,Not Allowed,Yes,18.443853009045725,Foggy,0,0,0,1,1,1,0
115,qp03mb,48,1900-01-01 00:00:00,0.0254457346714852,Residential,2,Not Allowed,Yes,20.145781608060624,Sunny,0,0,0,1,1,1,0
116,qp03q0,48,1900-01-01 00:00:00,0.011307898425588,Residential,1,Not Allowed,No,23.756889967151544,Sunny,0,0,0,1,1,1,0
117,qp03q2,48,1900-01-01 00:00:00,0.0243690266638168,Residential,3,Allowed,Yes,29.43178803724542,Sunny,0,0,0,1,1,1,0
118,qp03q8,48,1900-01-01 00:00:00,0.0332647701029937,Residential,3,Allowed,Yes,18.435621913693517,Foggy,0,0,0,1,1,1,0
119,qp03qb,48,1900-01-01 00:00:00,0.0378224671608451,Residential,2,Not Allowed,Yes,22.14733984186143,Sunny,0,0,0,1,1,1,0
120,qp03r0,48,1900-01-01 00:00:00,0.0322491055490283,Residential,3,Allowed,Yes,34.40757527788561,Sunny,0,0,0,1,1,1,0
121,qp03r2,48,1900-01-01 00:00:00,0.1207021894972487,Residential,2,Not Allowed,Yes,16.251660157519197,Foggy,0,0,0,1,1,1,0
122,qp03r8,48,1900-01-01 00:00:00,0.0165892729686371,Residential,2,Not Allowed,Yes,11.206771339854832,Rainy,0,0,0,1,1,1,0
123,qp0920,48,1900-01-01 00:00:00,0.0214943644598039,Residential,3,Allowed,Yes,25.38053634586532,Sunny,0,0,0,1,1,1,0
124,qp0922,48,1900-01-01 00:00:00,0.0066036734175364,Residential,2,Not Allowed,Yes,,Foggy,0,0,0,1,1,1,0
125,qp0928,48,1900-01-01 00:00:00,0.0387115053942447,Residential,2,Not Allowed,Yes,5.627777006393272,Snowy,0,0,0,1,1,1,0
126,qp093b,48,1900-01-01 00:00:00,0.0121045914886123,Residential,3,Allowed,Yes,22.43773777114245,Sunny,0,0,0,1,1,1,0
127,qp0962,48,1900-01-01 00:00:00,0.0767498221116265,Residential,2,Not Allowed,Yes,13.61876381434296,Rainy,0,0,0,1,1,1,0
128,qp096b,48,1900-01-01 00:00:00,0.0373980628791777,Residential,1,Not Allowed,No,18.008568596453056,Foggy,0,0,0,1,1,1,0
129,qp0970,48,1900-01-01 00:00:00,0.0350334476829627,,2,Not Allowed,Yes,20.468298448497407,Sunny,0,0,0,1,1,1,0
130,qp0972,48,1900-01-01 00:00:00,0.0606419448409315,Residential,1,Not Allowed,No,19.55263542853234,Sunny,0,0,0,1,1,1,0
131,qp097b,48,1900-01-01 00:00:00,0.001249008881046,Residential,3,Allowed,Yes,20.92216486027303,Sunny,0,0,0,1,1,1,0
132,qp09k2,48,1900-01-01 00:00:00,0.0873774290946747,Residential,2,Not Allowed,Yes,16.85507401499071,Foggy,0,0,0,1,1,1,0
133,qp09m0,48,1900-01-01 00:00:00,0.010050437901404,Residential,1,Not Allowed,No,26.478893224925063,Sunny,0,0,0,1,1,1,0
134,qp09m2,48,1900-01-01 00:00:00,0.0369235429511076,Residential,2,Not Allowed,Yes,12.234549741956556,Rainy,0,0,0,1,1,1,0
135,qp03m3,48,1900-01-01 00:00:00,0.0103321920968163,Residential,2,Not Allowed,Yes,16.81078731078643,Foggy,0,0,0,1,1,1,0
136,qp03q1,48,1900-01-01 00:00:00,0.0115040011214674,Residential,3,Allowed,Yes,7.947022255650017,Rainy,0,0,0,1,1,1,0
137,qp03q3,48,1900-01-01 00:00:00,0.0561827376706522,Residential,1,Not Allowed,No,20.28121017636245,Sunny,0,0,0,1,1,1,0
138,qp03q9,48,1900-01-01 00:00:00,0.0614068757172251,Residential,1,Not Allowed,No,13.254865173530051,Rainy,0,0,0,1,1,1,0
139,qp03qc,48,1900-01-01 00:00:00,0.0683897778865558,Residential,2,Not Allowed,Yes,22.34348806020275,Sunny,0,0,0,1,1,1,0
140,qp03r1,48,1900-01-01 00:00:00,0.0728134376086571,Residential,1,Not Allowed,No,18.93175051979006,Foggy,0,0,0,1,1,1,0
141,qp03r3,48,1900-01-01 00:00:00,0.035128713388216,Residential,2,Not Allowed,Yes,18.48355770572435,Foggy,0,0,0,1,1,1,0
142,qp03r9,48,1900-01-01 00:00:00,0.0303092760974907,Residential,2,Not Allowed,Yes,10.919863631004343,Rainy,0,0,0,1,1,1,0
143,qp0921,48,1900-01-01 00:00:00,0.0213925996399892,Residential,1,Not Allowed,No,23.121443900294345,Sunny,0,0,0,1,1,1,0
144,qp0923,48,1900-01-01 00:00:00,0.0040666248609461,Residential,3,Allowed,Yes,17.763753413195232,Foggy,0,0,0,1,1,1,0
145,qp0929,48,1900-01-01 00:00:00,0.0178557621874833,Residential,3,Allowed,Yes,22.663229023834376,Sunny,0,0,0,1,1,1,0
146,qp093c,48,1900-01-01 00:00:00,0.0155110583037871,Residential,1,Not Allowed,No,20.944067839928103,Sunny,0,0,0,1,1,1,0
147,qp0961,48,1900-01-01 00:00:00,0.0849811991276216,Residential,1,Not Allowed,No,19.451963772622825,Sunny,0,0,0,1,1,1,0
148,qp0963,48,1900-01-01 00:00:00,0.0395024959580542,Residential,3,Allowed,Yes,15.719860284720513,Foggy,0,0,0,1,1,1,0
149,qp0969,48,1900-01-01 00:00:00,0.0124713462292787,Residential,1,Not Allowed,No,14.296623466512887,Foggy,0,0,0,1,1,1,0
150,qp096c,48,1900-01-01 00:00:00,0.0282428632681169,Residential,1,Not Allowed,No,13.977936160694954,Rainy,0,0,0,1,1,1,0
151,qp0971,48,1900-01-01 00:00:00,0.0023061595525716,Residential,3,Allowed,Yes,23.46684106010209,Sunny,0,0,0,1,1,1,0
152,qp097c,48,1900-01-01 00:00:00,0.0729675217184079,Residential,2,Not Allowed,Yes,16.659267402472004,Foggy,0,0,0,1,1,1,0
153,qp09k1,48,1900-01-01 00:00:00,0.0134426283068838,Residential,3,Allowed,Yes,18.12886485665768,Foggy,0,0,0,1,1,1,0
154,qp09k3,48,1900-01-01 00:00:00,0.0539867512985063,Residential,1,Not Allowed,No,18.3061166445709,Foggy,0,0,0,1,1,1,0
155,qp09k9,48,1900-01-01 00:00:00,0.0112945589656237,Residential,1,Not Allowed,No,,Foggy,0,0,0,1,1,1,0
156,qp09kc,48,1900-01-01 00:00:00,0.0241868699745759,Residential,3,Allowed,Yes,17.985628682858938,Foggy,0,0,0,1,1,1,0
157,qp03m6,48,1900-01-01 00:00:00,0.0069606754411182,Residential,3,Allowed,Yes,22.21630406616221,Sunny,0,0,0,1,1,1,0
158,qp03mf,48,1900-01-01 00:00:00,0.0095581320625894,Residential,3,Allowed,Yes,16.255609581754,Foggy,0,0,0,1,1,1,0
159,qp03q6,48,1900-01-01 00:00:00,0.027035897063655,Residential,1,Not Allowed,No,5.792314373629509,Snowy,0,0,0,1,1,1,0
160,qp03qd,48,1900-01-01 00:00:00,0.0407761089757612,Residential,2,Not Allowed,Yes,15.498359865475765,Foggy,0,0,0,1,1,1,0
161,qp03qf,48,1900-01-01 00:00:00,0.1996745256928732,Residential,3,Allowed,Yes,6.186266453357494,Snowy,0,0,0,1,1,1,0
162,qp03r4,48,1900-01-01 00:00:00,0.0538378671884831,Residential,3,Allowed,Yes,19.80653413673142,Sunny,0,0,0,1,1,1,0
163,qp03r6,48,1900-01-01 00:00:00,0.0542937711681494,Residential,3,Allowed,Yes,15.283209321203312,Foggy,0,0,0,1,1,1,0
164,qp03rd,48,1900-01-01 00:00:00,0.0234481800335407,Residential,1,Not Allowed,No,15.429142468665043,Foggy,0,0,0,1,1,1,0
165,qp03rf,48,1900-01-01 00:00:00,0.0354435097946812,Residential,2,Not Allowed,Yes,25.19935604436577,Sunny,0,0,0,1,1,1,0
166,qp0924,48,1900-01-01 00:00:00,0.0332214971139807,Residential,2,Not Allowed,Yes,14.950952418493904,Foggy,0,0,0,1,1,1,0
167,qp0926,48,1900-01-01 00:00:00,0.0345015808385375,Residential,2,Not Allowed,Yes,18.819223255588835,Foggy,0,0,0,1,1,1,0
168,qp092d,48,1900-01-01 00:00:00,0.0052123282001123,Residential,3,Allowed,Yes,19.247274402898853,Sunny,0,0,0,1,1,1,0
169,qp096f,48,1900-01-01 00:00:00,0.1108605064609694,Residential,1,Not Allowed,No,29.4683723186826,Sunny,0,0,0,1,1,1,0
170,qp0974,48,1900-01-01 00:00:00,0.0576421683418079,Residential,1,Not Allowed,No,7.303705430534807,Rainy,0,0,0,1,1,1,0
171,qp0976,48,1900-01-01 00:00:00,0.0390109339231777,Residential,2,Not Allowed,Yes,9.994762156599776,Rainy,0,0,0,1,1,1,0
172,qp097d,48,1900-01-01 00:00:00,0.0083620841334738,Residential,3,Allowed,Yes,26.29580093959528,Sunny,0,0,0,1,1,1,0
173,qp097f,48,1900-01-01 00:00:00,0.0248749649728928,Residential,3,Allowed,Yes,30.38585082295308,Sunny,0,0,0,1,1,1,0
174,qp09k4,48,1900-01-01 00:00:00,0.0046374248026519,Residential,3,Allowed,Yes,24.97075288619405,Sunny,0,0,0,1,1,1,0
175,qp03m7,48,1900-01-01 00:00:00,0.0056348943959223,Residential,1,Not Allowed,No,17.858140438152898,Foggy,0,0,0,1,1,1,0
176,qp03me,48,1900-01-01 00:00:00,0.0219254386975729,Residential,2,Not Allowed,Yes,3.027670517677711,Snowy,0,0,0,1,1,1,0
177,qp03mg,48,1900-01-01 00:00:00,0.0450463909602604,Residential,1,Not Allowed,No,14.49465898450138,Foggy,0,0,0,1,1,1,0
178,qp03q5,48,1900-01-01 00:00:00,0.0065486090250102,Residential,3,Allowed,Yes,12.13158667709074,Rainy,0,0,0,1,1,1,0
179,qp03q7,48,1900-01-01 00:00:00,0.0143576397958104,Residential,3,Allowed,Yes,10.718778185014884,Rainy,0,0,0,1,1,1,0
180,qp03qe,48,1900-01-01 00:00:00,0.0380418347854909,Residential,2,Not Allowed,Yes,6.084655815139643,Snowy,0,0,0,1,1,1,0
181,qp03qg,48,1900-01-01 00:00:00,0.2043134809071557,Residential,2,Not Allowed,Yes,4.929041361179925,Snowy,0,0,0,1,1,1,0
182,qp03r5,48,1900-01-01 00:00:00,0.0055879755168558,Residential,1,Not Allowed,No,9.512780847074763,Rainy,0,0,0,1,1,1,0
183,qp03re,48,1900-01-01 00:00:00,0.0702080745869524,Residential,2,Not Allowed,Yes,9.853912279730231,Rainy,0,0,0,1,1,1,0
184,qp03rg,48,1900-01-01 00:00:00,0.0176179045458249,Residential,3,Allowed,Yes,9.177752285429984,Rainy,0,0,0,1,1,1,0
185,qp0925,48,1900-01-01 00:00:00,0.1365245793782895,Residential,1,Not Allowed,No,7.019048232761621,Rainy,0,0,0,1,1,1,0
186,qp0927,48,1900-01-01 00:00:00,0.0409180199996247,Residential,1,Not Allowed,No,,Sunny,0,0,0,1,1,1,0
